ano;poder;nivel_federativo;soma_vinculos
1985;Executivo;Federal;849283
1985;Executivo;Estadual;2319284
1985;Executivo;Municipal;1546665
1985;Legislativo;Federal;14330
1985;Legislativo;Estadual;19595
1985;Legislativo;Municipal;15051
1985;Judiciário;Federal;23816
1985;Judiciário;Estadual;49170
1986;Executivo;Federal;886308
1986;Executivo;Estadual;2389021
1986;Executivo;Municipal;1716500
1986;Legislativo;Federal;12328
1986;Legislativo;Estadual;21957
1986;Legislativo;Municipal;17087
1986;Judiciário;Federal;24845
1986;Judiciário;Estadual;34526
1987;Executivo;Federal;889837
1987;Executivo;Estadual;2517484
1987;Executivo;Municipal;1892533
1987;Legislativo;Federal;14059
1987;Legislativo;Estadual;24104
1987;Legislativo;Municipal;20127
1987;Judiciário;Federal;29083
1987;Judiciário;Estadual;71337
1988;Executivo;Federal;864307
1988;Executivo;Estadual;2572335
1988;Executivo;Municipal;1995347
1988;Legislativo;Federal;14801
1988;Legislativo;Estadual;32160
1988;Legislativo;Municipal;22325
1988;Judiciário;Federal;31838
1988;Judiciário;Estadual;72733
1989;Executivo;Federal;881391
1989;Executivo;Estadual;2546626
1989;Executivo;Municipal;2067257
1989;Legislativo;Federal;15468
1989;Legislativo;Estadual;29130
1989;Legislativo;Municipal;23308
1989;Judiciário;Federal;33225
1989;Judiciário;Estadual;74552
1990;Executivo;Federal;912659
1990;Executivo;Estadual;2556206
1990;Executivo;Municipal;2032948
1990;Legislativo;Federal;14927
1990;Legislativo;Estadual;28254
1990;Legislativo;Municipal;23566
1990;Judiciário;Federal;37645
1990;Judiciário;Estadual;82473
1991;Executivo;Federal;878335
1991;Executivo;Estadual;2564086
1991;Executivo;Municipal;2147842
1991;Legislativo;Federal;12480
1991;Legislativo;Estadual;40966
1991;Legislativo;Municipal;26281
1991;Judiciário;Federal;44821
1991;Judiciário;Estadual;88828
1992;Executivo;Federal;881087
1992;Executivo;Estadual;2596814
1992;Executivo;Municipal;2137622
1992;Legislativo;Federal;10427
1992;Legislativo;Estadual;38417
1992;Legislativo;Municipal;27029
1992;Judiciário;Federal;44115
1992;Judiciário;Estadual;94954
1993;Executivo;Federal;860444
1993;Executivo;Estadual;2763974
1993;Executivo;Municipal;2408327
1993;Legislativo;Federal;12353
1993;Legislativo;Estadual;40554
1993;Legislativo;Municipal;32352
1993;Judiciário;Federal;52139
1993;Judiciário;Estadual;106074
1994;Executivo;Federal;861664
1994;Executivo;Estadual;2878750
1994;Executivo;Municipal;2478358
1994;Legislativo;Federal;13057
1994;Legislativo;Estadual;35841
1994;Legislativo;Municipal;32987
1994;Judiciário;Federal;61123
1994;Judiciário;Estadual;111297
1995;Executivo;Federal;768613
1995;Executivo;Estadual;2810962
1995;Executivo;Municipal;2557496
1995;Legislativo;Federal;14827
1995;Legislativo;Estadual;40723
1995;Legislativo;Municipal;38610
1995;Judiciário;Federal;62942
1995;Judiciário;Estadual;102404
1996;Executivo;Federal;655315
1996;Executivo;Estadual;2782809
1996;Executivo;Municipal;2608013
1996;Legislativo;Federal;14064
1996;Legislativo;Estadual;38426
1996;Legislativo;Municipal;40523
1996;Judiciário;Federal;69805
1996;Judiciário;Estadual;101881
1997;Executivo;Federal;642274
1997;Executivo;Estadual;2718283
1997;Executivo;Municipal;2608266
1997;Legislativo;Federal;15670
1997;Legislativo;Estadual;39009
1997;Legislativo;Municipal;45234
1997;Judiciário;Federal;74025
1997;Judiciário;Estadual;124775
1998;Executivo;Federal;799146
1998;Executivo;Estadual;2792119
1998;Executivo;Municipal;2731640
1998;Legislativo;Federal;15734
1998;Legislativo;Estadual;38256
1998;Legislativo;Municipal;48394
1998;Judiciário;Federal;77657
1998;Judiciário;Estadual;126886
1999;Executivo;Federal;707673
1999;Executivo;Estadual;2792659
1999;Executivo;Municipal;2850403
1999;Legislativo;Federal;22371
1999;Legislativo;Estadual;42020
1999;Legislativo;Municipal;50095
1999;Judiciário;Federal;77650
1999;Judiciário;Estadual;135007
2000;Executivo;Federal;745306
2000;Executivo;Estadual;2866719
2000;Executivo;Municipal;2948685
2000;Legislativo;Federal;20922
2000;Legislativo;Estadual;40516
2000;Legislativo;Municipal;53785
2000;Judiciário;Federal;82008
2000;Judiciário;Estadual;138826
2001;Executivo;Federal;721964
2001;Executivo;Estadual;2806298
2001;Executivo;Municipal;3347411
2001;Legislativo;Federal;23137
2001;Legislativo;Estadual;44718
2001;Legislativo;Municipal;60510
2001;Judiciário;Federal;83219
2001;Judiciário;Estadual;143398
2002;Executivo;Federal;687694
2002;Executivo;Estadual;2897619
2002;Executivo;Municipal;3670133
2002;Legislativo;Federal;23082
2002;Legislativo;Estadual;47884
2002;Legislativo;Municipal;65187
2002;Judiciário;Federal;85432
2002;Judiciário;Estadual;149119
2003;Executivo;Federal;631638
2003;Executivo;Estadual;2967911
2003;Executivo;Municipal;3907267
2003;Legislativo;Federal;26963
2003;Legislativo;Estadual;54810
2003;Legislativo;Municipal;78799
2003;Judiciário;Federal;81625
2003;Judiciário;Estadual;149746
2004;Executivo;Federal;662947
2004;Executivo;Estadual;3053930
2004;Executivo;Municipal;4056181
2004;Legislativo;Federal;23682
2004;Legislativo;Estadual;55692
2004;Legislativo;Municipal;78324
2004;Judiciário;Federal;86146
2004;Judiciário;Estadual;152162
2005;Executivo;Federal;685049
2005;Executivo;Estadual;3063899
2005;Executivo;Municipal;4402702
2005;Legislativo;Federal;25310
2005;Legislativo;Estadual;62590
2005;Legislativo;Municipal;93885
2005;Judiciário;Federal;96348
2005;Judiciário;Estadual;162785
2006;Executivo;Federal;724023
2006;Executivo;Estadual;3187962
2006;Executivo;Municipal;4746470
2006;Legislativo;Federal;29830
2006;Legislativo;Estadual;58835
2006;Legislativo;Municipal;99375
2006;Judiciário;Federal;105098
2006;Judiciário;Estadual;174827
2007;Executivo;Federal;835184
2007;Executivo;Estadual;3313875
2007;Executivo;Municipal;4985267
2007;Legislativo;Federal;33879
2007;Legislativo;Estadual;77963
2007;Legislativo;Municipal;112675
2007;Judiciário;Federal;107102
2007;Judiciário;Estadual;174251
2008;Executivo;Federal;794440
2008;Executivo;Estadual;3375397
2008;Executivo;Municipal;5346169
2008;Legislativo;Federal;29605
2008;Legislativo;Estadual;74489
2008;Legislativo;Municipal;118494
2008;Judiciário;Federal;115403
2008;Judiciário;Estadual;180183
2009;Executivo;Federal;825426
2009;Executivo;Estadual;3460547
2009;Executivo;Municipal;5566150
2009;Legislativo;Federal;31275
2009;Legislativo;Estadual;85175
2009;Legislativo;Municipal;133006
2009;Judiciário;Federal;113167
2009;Judiciário;Estadual;183325
2010;Executivo;Federal;1062225
2010;Executivo;Estadual;3486713
2010;Executivo;Municipal;5739387
2010;Legislativo;Federal;29437
2010;Legislativo;Estadual;85142
2010;Legislativo;Municipal;123813
2010;Judiciário;Federal;122694
